league,season,team,player,nation,pos,age,NINETIES,Performance_Gls,Performance_Ast,Performance_G+A,Performance_CrdY,Performance_CrdR,Standard_Sh,Standard_SoT,Standard_Sh/90,Standard_SoT/90,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Pass_Cmp,Pass_Att,Pass_CmpPct,Pass_PrgDist,Pass_Ast,Pass_KP,Pass_Final3rd,Pass_PPA,SCA90,GCA90,Touches,Carries,Carry_PrgDist,Carry_Final3rd,Carry_PPA
ENG-Premier League,2425,Brentford,Kevin Schade,GER,"MF,FW",22,25.5,11,2,13,3,0,55,27,2.16,1.06,21,38,13,39,5,26,,,,,2,,,,,,,,,,
ENG-Premier League,2425,Brentford,Kim Jisoo,KOR,DF,19,0.3,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Brentford,Kristoffer Ajer,NOR,DF,26,16.0,0,0,0,5,0,9,3,0.56,0.19,13,6,2,14,11,19,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Brentford,Mads Roerslev,DEN,DF,25,12.2,0,2,2,2,0,5,2,0.41,0.16,6,10,0,30,4,8,,,,,2,,,,,,,,,,
ENG-Premier League,2425,Brentford,Mark Flekken,NED,GK,31,36.4,0,2,2,1,0,0,0,0.0,0.0,0,3,0,0,0,4,,,,,2,,,,,,,,,,
ENG-Premier League,2425,Brentford,Mathias Jensen,DEN,MF,28,9.6,0,2,2,2,0,6,1,0.63,0.1,7,10,0,33,7,9,,,,,2,,,,,,,,,,
ENG-Premier League,2425,Brentford,Michael Kayode,ITA,DF,20,5.9,0,1,1,2,0,2,0,0.34,0.0,8,3,0,10,7,11,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Brentford,Mikkel Damsgaard,DEN,MF,24,32.3,2,10,12,2,0,35,7,1.08,0.22,18,27,6,147,29,44,,,,,10,,,,,,,,,,
ENG-Premier League,2425,Brentford,Nathan Collins,IRL,DF,23,38.0,2,3,5,5,0,17,6,0.45,0.16,28,31,6,8,34,24,,,,,3,,,,,,,,,,
ENG-Premier League,2425,Brentford,Rico Henry,JAM,"DF,MF",27,1.1,0,0,0,0,0,0,0,0.0,0.0,2,2,0,2,1,2,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Brentford,Ryan Trevitt,ENG,MF,21,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Brentford,Sepp van den Berg,NED,DF,22,28.7,0,0,0,3,0,20,6,0.7,0.21,23,5,1,7,22,24,,,,,0,,,,,,,,,,
