PLAYER_NAME,PLAYER_POSITION,HEIGHT_IN,DRAFT_PICK
John Butler Jr.,SF,84.0,61
Dwight Buycks,SG,75.0,61
Matas Buzelis,SF,80.0,11
Derrick Byars,SG,79.0,72
Andrew Bynum,C,84.0,10
Will Bynum,SG,72.0,61
Marty Byrnes,SF,79.0,19
Tommy Byrnes,SG,75.0,61
Mike Bytzura,SF,73.0,61
Zarko Cabarkapa,PF,83.0,17
Barney Cable,SF,79.0,40
Bruno Caboclo,SF,81.0,20
Devontae Cacok,SF,79.0,61
Jason Caffey,SF,80.0,20
Michael Cage,PF,81.0,14
Jamal Cain,SF,79.0,61
Gerry Calabrese,SG,73.0,61
Nick Calathes,SG,78.0,75
Jose Calderon,SG,75.0,61
Adrian Caldwell,SF,80.0,61
Jim Caldwell,C,82.0,85
Joe Caldwell,SF,77.0,2
Kentavious Caldwell-Pope,SG,77.0,8
Bill Calhoun,SF,75.0,61
Corky Calhoun,SF,79.0,4
Demetrius Calip,SG,73.0,61
Tom Callahan,SG,73.0,61
Rick Calloway,SG,78.0,61
Ernie Calverley,SG,70.0,61
Mack Calvin,SG,72.0,577
Toumani Camara,SF,79.0,82
Dexter Cambridge,SF,79.0,61
Marcus Camby,PF,83.0,2
Facundo Campazzo,SG,70.0,61
Elden Campbell,PF,84.0,27
Tony Campbell,SF,79.0,20
Isaiah Canaan,SG,72.0,64
Devin Cannady,SG,74.0,61
Larry Cannon,SG,76.0,5
Clint Capela,C,82.0,25
Derrick Caracter,SF,81.0,88
Brian Cardinal,SF,80.0,74
Dylan Cardwell,C,82.0,61
Vernon Carey Jr.,C,82.0,62
Howie Carl,SG,69.0,170
Chet Carlisle,SF,77.0,61
Geno Carlisle,SG,75.0,61
Rick Carlisle,SG,77.0,130
Al Carlson,C,83.0,61
Branden Carlson,C,84.0,61
Don Carlson,SG,72.0,61
Bob Carney,C,75.0,197
Rodney Carney,SF,79.0,16
Bob Carpenter,SF,77.0,61
Antoine Carr,SF,81.0,8
Austin Carr,SG,76.0,1
Chris Carr,SG,78.0,86
Cory Carr,SG,76.0,79
Kenny Carr,SF,79.0,6
M.L. Carr,SF,78.0,196
Bob Carrington,SG,78.0,58
Bub Carrington,SG,76.0,14
DeMarre Carroll,SF,78.0,27
Joe Barry Carroll,C,84.0,1
Matt Carroll,SG,78.0,61
Jimmy Carruth,SF,82.0,61
Anthony Carter,SG,74.0,61
Butch Carter,SG,77.0,67
Devin Carter,SG,74.0,13
Fred Carter,SG,75.0,103
George Carter,SF,76.0,291
Howard Carter,SG,77.0,15
Jake Carter,Unknown,,61
Jevon Carter,SG,72.0,62
Maurice Carter,SG,77.0,61
Reggie Carter,SG,75.0,57
Ron Carter,SG,77.0,56
Vince Carter,SG,78.0,5
Wendell Carter Jr.,PF,82.0,7
Michael Carter-Williams,SG,77.0,11
D.J. Carton,SG,75.0,61
Bill Cartwright,C,85.0,3
Jay Carty,SF,79.0,196
Alex Caruso,SG,77.0,61
Cornelius Cash,SF,80.0,54
Sam Cassell,SG,75.0,24
Omri Casspi,SF,81.0,23
Stephon Castle,SG,78.0,4
Colin Castleton,C,82.0,61
Harvey Catchings,C,81.0,102
Terry Catledge,SF,80.0,21
Sid Catlett,SF,78.0,145
Kelvin Cato,C,83.0,15
Bobby Cattage,SF,81.0,375
Willie Cauley-Stein,C,84.0,6
Troy Caupain,SG,76.0,61
Duane Causwell,C,84.0,18
Tyler Cavanaugh,SF,81.0,61
Ron Cavenall,C,85.0,61
Ahmad Caver,SG,74.0,61
Malcolm Cazalon,SG,78.0,61
Cedric Ceballos,SF,79.0,78
John Celestand,SG,75.0,60
Al Cervi,SG,71.0,61
Lionel Chalmers,SG,72.0,63
Mario Chalmers,SG,74.0,64
Bill Chamberlain,SF,78.0,103
Wilt Chamberlain,C,85.0,61
Jerry Chambers,SF,77.0,7
Tom Chambers,SF,82.0,8
Julian Champagnie,SF,79.0,61
Justin Champagnie,SG,78.0,61
Mike Champion,SF,82.0,61
Kennedy Chandler,SG,72.0,68
Tyson Chandler,C,84.0,2
Wilson Chandler,SF,80.0,23
Don Chaney,SG,77.0,12
John Chaney,Unknown,,61
Rex Chapman,SG,76.0,8
Len Chappell,SF,80.0,4
Ken Charles,SG,75.0,98
Lorenzo Charles,SF,79.0,71
Joe Chealey,SG,75.0,61
Calbert Cheaney,SG,79.0,6
Zylan Cheatham,SF,77.0,61
Maurice Cheeks,SG,73.0,66
Phil Chenier,SG,75.0,61
Will Cherry,Unknown,,61
Derrick Chievous,SF,79.0,16
Pete Chilcutt,SF,82.0,27
Josh Childress,SF,80.0,6
Randolph Childress,SG,74.0,19
Chris Childs,SG,75.0,61
Chris Chiozza,SG,71.0,61
Leroy Chollet,SF,74.0,61
Ulrich Chomche,C,83.0,87
Jim Chones,C,83.0,61
Marquese Chriss,SF,81.0,8
Fred Christ,SG,76.0,61
Cal Christensen,SF,77.0,61
Bob Christian,C,82.0,319
Cam Christie,SG,77.0,76
Doug Christie,SG,78.0,17
Max Christie,SG,77.0,65
Dionte Christmas,SG,77.0,61
